================================================================================
           MeasurementSet Name:  /lustre/opsw/work/alma08/2013.1.00269.S/analysis/calibrated/SgrB2_a_03_7M.calibrated.ms      MS Version 2
================================================================================
   Observer: keflavich     Project: uid://A001/X10e/X119  
Observation: ALMA

  Telescope Observation Date    Observer       Project        
  ALMA      [                   4.91091e+09, 4.91091e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.911e+09, 4.911e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.91108e+09, 4.91108e+09]keflavich      uid://A001/X10e/X119
  ALMA      [                   4.91108e+09, 4.91108e+09]keflavich      uid://A001/X10e/X119
Data records: 200928       Total elapsed time = 172719 seconds
   Observed from   01-Jul-2014/06:00:36.1   to   03-Jul-2014/05:59:14.7 (UTC)

   ObservationID = 0         ArrayID = 0
  Date        Timerange (UTC)          Scan  FldId FieldName             nRows     SpwIds   Average Interval(s)    ScanIntent
              06:45:16.4 - 06:51:55.9    16     31 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     32 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     33 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     34 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     35 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     36 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     37 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     38 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     39 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     40 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     41 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     42 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
              06:45:16.4 - 06:51:55.9    16     43 SgrB2                      660  [0,1,2,3]  [10.1, 10.1, 10.1, 10.1] [OBSERVE_TARGET#ON_SOURCE]
