================================================================================
           MeasurementSet Name:  /lustre/opsw/work/alma08/2013.1.00269.S/analysis/X1f13/uid___A002_X95e355_X1f13.ms      MS Version 2
================================================================================
   Observer: keflavich     Project: uid://A001/X10e/X119  
Observation: ALMA
Data records: 2793875       Total elapsed time = 3407.28 seconds
   Observed from   06-Dec-2014/14:08:56.8   to   06-Dec-2014/15:05:44.1 (UTC)

   ObservationID = 0         ArrayID = 0
  Date        Timerange (UTC)          Scan  FldId FieldName             nRows     SpwIds   Average Interval(s)    ScanIntent
  06-Dec-2014/14:08:56.8 - 14:09:53.5     1      0 J1700-2610              150133  [0,1,2,3,4,5,6,7,8]  [1.15, 2.02, 1.01, 2.02, 1.01, 2.02, 1.01, 2.02, 1.01] [CALIBRATE_POINTING#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     16 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     17 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     18 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     19 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     20 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     21 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     22 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     23 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     24 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     25 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     26 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     27 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     28 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     29 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     30 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     31 SgrB2                     8277  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     32 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     33 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
              14:24:05.8 - 14:31:07.0     9     34 SgrB2                     8246  [0,17,18,19,20,21,22,23,24]  [1.15, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05, 6.05] [OBSERVE_TARGET#ON_SOURCE]
