|       ID | Model |            RA |           Dec |    dz |       ne |    robs | ZAMS |       EM | log(Q_lyc) |
|   G10.47 |  ABCD |  17:47:20.270 |  -28:23:02.25 |   0.0 |    3.670 |   1.910 |   B0 |     3.70 |      47.05 |
|        H |  ABCD |  17:47:20.426 |  -28:23:44.62 |   0.0 |    2.700 |   9.260 |   O6 |     9.80 |      48.84 |
|        I |  ABCD |  17:47:20.507 |  -28:23:05.95 |   0.0 |    1.630 |  22.000 |   O5 |     8.40 |      49.52 |
|   I10.49 |  ABCD |  17:47:20.304 |  -28:23:04.45 |   0.0 |    3.440 |   2.000 |   B0 |     3.40 |      47.05 |
|   I10.52 |  ABCD |  17:47:20.325 |  -28:23:08.01 |   0.0 |    4.530 |   1.980 |   B0 |     5.90 |      47.28 |
|        J |  ABCD |  17:47:20.570 |  -28:22:56.04 |   0.0 |    0.608 |  25.500 |   O6 |     1.40 |      48.86 |
|       K1 |     A |  17:47:19.802 |  -28:22:20.71 |   0.0 |    5.250 |   5.340 | O6.5 |    21.00 |      48.70 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|       K2 |     A |  17:47:19.874 |  -28:22:18.37 |   0.0 |   12.700 |   2.400 | O7.5 |    56.00 |      48.42 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|       K3 |     A |  17:47:19.897 |  -28:22:17.07 |   0.0 |    7.610 |   3.200 | O7.5 |    27.00 |      48.35 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|       K4 |     A |  17:47:19.993 |  -28:22:04.58 |   0.0 |    3.750 |   6.280 |   O7 |    13.00 |      48.62 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|       K5 |     A |  17:47:20.266 |  -28:22:14.67 |   0.0 |    0.819 |  34.000 |   O5 |    33.00 |      49.49 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|       K6 |     A |  17:47:20.568 |  -28:22:08.82 |   0.0 |    0.532 |  49.900 |   O5 |    20.00 |      49.62 |
|          |   BCD |               |               |  –7.0 |          |         |      |          |            |
|        L |  ABCD |  17:47:22.661 |  -28:21:55.77 |   0.0 |    1.420 |  17.300 | O5.5 |     5.10 |      49.09 |
|   L13.30 |  ABCD |  17:47:23.079 |  -28:21:55.16 |   0.0 |    1.450 |   5.680 | O9.5 |     1.70 |      47.66 |
|        O |  ABCD |  17:47:22.901 |  -28:22:49.07 |   0.0 |    0.698 |   7.800 | O9.5 |     0.55 |      47.44 |
|        P |  ABCD |  17:47:23.621 |  -28:23:36.02 |   0.0 |    0.777 |   7.800 | O9.5 |     0.68 |      47.53 |
|        Q |  ABCD |  17:47:24.875 |  -28:21:44.93 |   0.0 |    0.895 |   7.800 | O9.5 |     0.90 |      47.65 |
|        R |  ABCD |  17:47:26.464 |  -28:22:05.11 |   0.0 |    0.535 |  28.500 |   O6 |     1.20 |      48.89 |
|        T |  ABCD |  17:47:27.256 |  -28:20:58.75 |   0.0 |    0.138 |  35.100 |   O9 |     0.10 |      47.99 |
|        U |  ABCD |  17:47:12.093 |  -28:22:33.86 |   0.0 |    0.364 |  27.300 | O7.5 |     0.52 |      48.50 |
|        V |  ABCD |  17:47:13.224 |  -28:23:47.77 |   0.0 |    0.233 |  54.600 |   O6 |     0.43 |      49.02 |
|        W |  ABCD |  17:47:16.717 |  -28:23:29.52 |   0.0 |    0.238 |  19.500 | O9.5 |     0.16 |      47.69 |
|        X |  ABCD |  17:47:17.363 |  -28:22:03.74 |   0.0 |    2.220 |   3.120 |   B0 |     2.20 |      47.25 |
|    X8.33 |  ABCD |  17:47:18.113 |  -28:22:06.82 |   0.0 |    5.320 |   1.900 |   B0 |     7.80 |      47.36 |
|        Y |  ABCD |  17:47:18.657 |  -28:22:54.51 |   0.0 |    1.480 |   5.630 | O9.5 |     1.80 |      47.67 |
|        Z |  ABCD |  17:47:18.689 |  -28:22:44.78 |   0.0 |    0.607 |  19.000 | O7.5 |     1.00 |      48.47 |
|   Z10.24 |  ABCD |  17:47:20.038 |  -28:22:41.18 |   0.0 |    6.140 |   1.680 |   B0 |     9.20 |      47.33 |
|       AA |  ABCD |  17:47:19.388 |  -28:22:18.33 |   0.0 |    1.070 |  11.700 |   O8 |     1.90 |      48.33 |
|       BB |  ABCD |  17:47:22.348 |  -28:22:17.41 |   0.0 |    0.218 |  33.100 |   O8 |     0.24 |      48.31 |
